x,y,2dKDE
-70.0,19.0,3.206612728540634e-05
-70.0,20.0,3.120224344690616e-05
-70.0,21.0,3.0329939791895872e-05
-70.0,22.0,2.9272681366061575e-05
-70.0,23.0,2.7916375887035763e-05
-70.0,24.0,2.617007298226974e-05
-70.0,25.0,2.394695652349421e-05
-70.0,26.0,2.119888185260276e-05
-70.0,27.0,1.7978902030046644e-05
-70.0,28.0,1.4475137764955617e-05
-70.0,29.0,1.097890838871671e-05
-69.0,-30.0,1.1171016060435383e-05
-69.0,-29.0,1.51430507142875e-05
-69.0,-28.0,1.926701852799322e-05
-69.0,-27.0,2.3161895803015625e-05
-69.0,-26.0,2.6531568672670528e-05
-69.0,-25.0,2.9245871018270726e-05
-69.0,-24.0,3.134005451692349e-05
-69.0,-23.0,3.294113450894125e-05
-69.0,-22.0,3.417565565170561e-05
-69.0,-21.0,3.511776608425201e-05
-69.0,-20.0,3.579770975733632e-05
-69.0,-19.0,3.6244266731508436e-05
-69.0,-18.0,3.65181621469642e-05
-69.0,-17.0,3.671272706823144e-05
-69.0,-16.0,3.692731437460183e-05
-69.0,-15.0,3.723250529323147e-05
-69.0,-14.0,3.7642763224319895e-05
-69.0,-13.0,3.8106466604234536e-05
-69.0,-12.0,3.852107826161979e-05
-69.0,-11.0,3.877400575578079e-05
-69.0,-10.0,3.8793015027259486e-05
-69.0,-9.0,3.8577353869849364e-05
-69.0,-8.0,3.8189755617343174e-05
-69.0,-7.0,3.771738092265556e-05
-69.0,-6.0,3.723145120677088e-05
-69.0,-5.0,3.677055012215756e-05
-69.0,-4.0,3.6348772545425965e-05
-69.0,-3.0,3.597237988400763e-05
-69.0,-2.0,3.5650710978132825e-05
-69.0,-1.0,3.539817375505404e-05
-69.0,0.0,3.522853428147085e-05
-69.0,1.0,3.514174148692844e-05
-69.0,2.0,3.51100174619156e-05
-69.0,3.0,3.5083528654152914e-05
-69.0,4.0,3.5035556215565006e-05
-69.0,5.0,3.503629054304575e-05
-69.0,6.0,3.530064988432747e-05
-69.0,7.0,3.614352439307509e-05
-69.0,8.0,3.7824296913296476e-05
-69.0,9.0,4.034785747997242e-05
-69.0,10.0,4.3346825218949836e-05
-69.0,11.0,4.6145552552994814e-05
-69.0,12.0,4.800516639602303e-05
-69.0,13.0,4.843412554590673e-05
-69.0,14.0,4.739837520070441e-05
-69.0,15.0,4.5315891187836e-05
-69.0,16.0,4.2842441644437724e-05
-69.0,17.0,4.0572198712839434e-05
-69.0,18.0,3.881526538189519e-05
-69.0,19.0,3.7552647363674753e-05
-69.0,20.0,3.655246330303519e-05
-69.0,21.0,3.553995342211511e-05
-69.0,22.0,3.430730390373153e-05
-69.0,23.0,3.272184819292326e-05
-69.0,24.0,3.067874539934136e-05
-69.0,25.0,2.8077418406662418e-05
-69.0,26.0,2.486139949761978e-05
-69.0,27.0,2.1091825611932632e-05
-69.0,28.0,1.6987892672437873e-05
-69.0,29.0,1.289027012685428e-05
-68.0,-30.0,1.2924812459416815e-05
-68.0,-29.0,1.7528586496648192e-05
-68.0,-28.0,2.231022739175926e-05
-68.0,-27.0,2.6826015674691044e-05
-68.0,-26.0,3.072965342994478e-05
