id,x,y,z,2dKDE,3dKDE
0.0,63.5,11.042056,1.897015,6.490824573443846e-05,1.447905307547651e-05
0.0,63.197147,11.007463,1.832958,6.666572840565743e-05,1.527650795969898e-05
0.0,63.009651,10.986698,1.806452,6.774965269179679e-05,1.565981862824074e-05
0.0,63.0,10.985681,1.805144,6.780541038326421e-05,1.5678907780399043e-05
0.0,62.998573,10.985621,1.80498,6.781380518090488e-05,1.5681441762669456e-05
0.0,62.527542,10.928041,1.710795,7.05053874804767e-05,1.677834431730543e-05
0.0,62.5,10.924459,1.704796,7.066133872759035e-05,1.68418554707339e-05
0.0,62.487576,10.923789,1.702326,7.073316846841331e-05,1.6867822358687037e-05
0.0,62.387497,10.918795,1.69032,7.131136012816048e-05,1.7029467896145737e-05
0.0,62.0,10.865891,1.608691,7.347850236836294e-05,1.7830997788442758e-05
0.0,61.78421,10.85189,1.56604,7.469557252463872e-05,1.819040427876708e-05
0.0,61.764893,10.850736,1.563759,7.480413386747948e-05,1.821523356388263e-05
0.0,61.645042,10.834644,1.539569,7.546228938316033e-05,1.84116745315589e-05
0.0,61.5,10.814872,1.509347,7.625390738888094e-05,1.8635626969044902e-05
0.0,61.144337,10.786347,1.439313,7.820112722757263e-05,1.9057231828728358e-05
0.0,61.06319,10.773283,1.418396,7.863137885876629e-05,1.9152482069447185e-05
0.0,61.0,10.763099,1.40573,7.896524444462653e-05,1.921874586801996e-05
0.0,60.853897,10.749564,1.377461,7.974654001397592e-05,1.933769269898416e-05
0.0,60.508045,10.72132,1.298627,8.157506214102439e-05,1.9510715937992834e-05
0.0,60.5,10.720059,1.296216,8.161637506825685e-05,1.9513171500073845e-05
0.0,60.480354,10.718214,1.290322,8.171874833828089e-05,1.9516085682394577e-05
0.0,60.334259,10.705891,1.251104,8.247784832167223e-05,1.9523767606144408e-05
0.0,60.0,10.677718,1.183999,8.418761776814033e-05,1.95085921898206e-05
0.0,59.875511,10.67523,1.161816,8.482365999859576e-05,1.9471474645119195e-05
0.0,59.63168,10.650977,1.09823,8.603077263735134e-05,1.9302597829894945e-05
0.0,59.5,10.638112,1.073249,8.667399915435738e-05,1.9233383542534193e-05
0.0,59.246414,10.629766,1.028556,8.791118336964864e-05,1.9054069412911248e-05
0.0,59.126762,10.615805,0.998327,8.847592761778935e-05,1.891725124185877e-05
0.0,59.0,10.601609,0.961674,8.90689614731666e-05,1.8725283680315805e-05
0.0,58.927273,10.598212,0.941271,8.941087053323717e-05,1.860340050493679e-05
0.0,58.59885,10.58328,0.876233,9.09276935647933e-05,1.8210982089852472e-05
0.0,58.5,10.570846,0.848416,9.136858030986935e-05,1.8036649242904428e-05
0.0,58.232071,10.554305,0.774193,9.255758411646039e-05,1.7525457728457983e-05
0.0,58.217625,10.553642,0.770508,9.262099630333563e-05,1.7499585833928636e-05
0.0,58.0,10.543943,0.732647,9.356540932119624e-05,1.724415124301081e-05
0.0,57.952824,10.544708,0.725494,9.376942817866881e-05,1.719231818023491e-05
0.0,57.5415,10.519401,0.623772,9.548371354900976e-05,1.6504729919559714e-05
0.0,57.5,10.516941,0.616826,9.56525881734864e-05,1.6461562428401117e-05
0.0,57.322731,10.517836,0.591205,9.637179049980823e-05,1.6294534552996326e-05
0.0,57.295467,10.515668,0.584758,9.647977275624321e-05,1.6255204063461932e-05
0.0,57.0,10.491868,0.506709,9.762906508293229e-05,1.5805362728170066e-05
0.0,56.86768,10.490573,0.473872,9.813563111832287e-05,1.5628847947766988e-05
0.0,56.681076,10.489239,0.444982,9.88362115672871e-05,1.5492929108537468e-05
0.0,56.5,10.472355,0.39942,9.949442771881117e-05,1.530759413146515e-05
0.0,56.198036,10.464884,0.325066,0.00010056676013802319,1.5063656037459267e-05
0.0,56.042286,10.461885,0.301716,0.00010110357104158745,1.5017673239491352e-05
0.0,56.0,10.457353,0.291414,0.00010124641554671054,1.4998887528020396e-05
0.0,55.859505,10.451946,0.258064,0.00010171775052991121,1.4947197025242054e-05
0.0,55.545975,10.444203,0.189282,0.00010273803734009166,1.4915249721052617e-05
0.0,55.5,10.443155,0.183262,0.00010288389227550347,1.4921623282536851e-05
0.0,55.419109,10.446616,0.174566,0.00010313886883590268,1.4933808428776532e-05
0.0,55.279587,10.440883,0.145224,0.00010357010219595108,1.496406776555224e-05
0.0,55.0,10.42821,0.081214,0.00010440839446241627,1.5088017682052857e-05
0.0,54.909813,10.430861,0.062389,0.00010467163084782506,1.514208438128959e-05
0.0,54.799152,10.434343,0.050736,0.00010498952333280867,1.5197421777099585e-05
0.0,54.5,10.416542,-0.014581,0.00010582256335041173,1.5466571147681017e-05
0.0,54.281746,10.419662,-0.058336,0.00010640501088564447,1.5702495149873004e-05
0.0,54.184063,10.421188,-0.068066,0.00010665893000929086,1.5782433052701736e-05
0.0,54.0,10.407606,-0.105499,0.00010712895376926743,1.6026379225550846e-05
0.0,53.65976,10.40832,-0.172643,0.0001079567408858986,1.6536629603845305e-05
0.0,53.575378,10.408877,-0.180257,0.00010815455693892856,1.662582914722805e-05
0.0,53.5,10.402482,-0.194874,0.00010833066721959681,1.675184214014558e-05
0.0,53.162399,10.399269,-0.258065,0.00010908539917929231,1.734600286639751e-05
0.0,53.048767,10.39951,-0.278193,0.0001093290373250342,1.7553010170046496e-05
0.0,53.0,10.399552,-0.282067,0.00010943210119100323,1.7611912651378842e-05
0.0,52.975403,10.401282,-0.283455,0.00010948312073844288,1.7638058216813988e-05
0.0,52.718182,10.397331,-0.3263,0.00011001115349853904,1.811521759741145e-05
0.0,52.5,10.392711,-0.364897,0.00011044082605433411,1.8555804911233535e-05
